frame,label,confidence,x,y,time
14,songoku,0.7886,450,395,2025-10-31T15:34:57.490397+00:00
14,moc2,0.7622,691,400,2025-10-31T15:34:57.490397+00:00
14,dog,0.5659,363,539,2025-10-31T15:34:57.490397+00:00
14,moc4,0.3887,346,418,2025-10-31T15:34:57.490397+00:00
15,moc1,0.8311,818,662,2025-10-31T15:34:57.522308+00:00
15,moc3,0.8115,127,667,2025-10-31T15:34:57.522308+00:00
15,songoku,0.7949,449,395,2025-10-31T15:34:57.522308+00:00
15,moc2,0.7686,692,400,2025-10-31T15:34:57.522308+00:00
15,dog,0.5078,363,540,2025-10-31T15:34:57.532425+00:00
15,moc4,0.314,345,419,2025-10-31T15:34:57.532425+00:00
16,moc1,0.8569,817,663,2025-10-31T15:34:57.570105+00:00
16,songoku,0.8003,450,395,2025-10-31T15:34:57.570105+00:00
16,moc3,0.772,126,667,2025-10-31T15:34:57.570105+00:00
16,moc2,0.7549,692,400,2025-10-31T15:34:57.570105+00:00
16,dog,0.5947,362,540,2025-10-31T15:34:57.580246+00:00
16,moc4,0.3503,345,418,2025-10-31T15:34:57.580246+00:00
17,moc1,0.8438,817,663,2025-10-31T15:34:57.601572+00:00
17,moc3,0.7866,127,667,2025-10-31T15:34:57.601572+00:00
17,songoku,0.771,450,395,2025-10-31T15:34:57.601572+00:00
17,moc2,0.7559,692,400,2025-10-31T15:34:57.601572+00:00
17,dog,0.543,363,540,2025-10-31T15:34:57.601572+00:00
17,moc4,0.4766,346,421,2025-10-31T15:34:57.616008+00:00
18,moc1,0.8589,817,662,2025-10-31T15:34:57.649272+00:00
18,songoku,0.7974,449,395,2025-10-31T15:34:57.649272+00:00
18,moc3,0.7969,126,667,2025-10-31T15:34:57.649272+00:00
18,moc2,0.752,692,398,2025-10-31T15:34:57.649272+00:00
18,dog,0.6001,362,539,2025-10-31T15:34:57.649272+00:00
18,moc4,0.3345,345,419,2025-10-31T15:34:57.649272+00:00
19,moc1,0.8345,817,662,2025-10-31T15:34:57.680973+00:00
19,moc3,0.7866,126,666,2025-10-31T15:34:57.680973+00:00
19,moc2,0.7852,691,398,2025-10-31T15:34:57.680973+00:00
19,songoku,0.7671,450,395,2025-10-31T15:34:57.680973+00:00
19,dog,0.498,362,539,2025-10-31T15:34:57.680973+00:00
19,moc4,0.4844,346,418,2025-10-31T15:34:57.680973+00:00
20,moc1,0.8291,817,662,2025-10-31T15:34:57.716010+00:00
20,songoku,0.8062,450,394,2025-10-31T15:34:57.716010+00:00
20,moc3,0.8057,126,666,2025-10-31T15:34:57.716010+00:00
20,moc2,0.7505,691,399,2025-10-31T15:34:57.716010+00:00
20,dog,0.6167,362,540,2025-10-31T15:34:57.716010+00:00
21,moc1,0.8428,817,662,2025-10-31T15:34:57.744901+00:00
21,songoku,0.8037,449,395,2025-10-31T15:34:57.744901+00:00
21,moc3,0.7944,126,667,2025-10-31T15:34:57.744901+00:00
21,moc2,0.7417,692,400,2025-10-31T15:34:57.744901+00:00
21,dog,0.5137,362,540,2025-10-31T15:34:57.744901+00:00
